bmw,bmw-e30-3-series,BMW E30 3 Series Front Anti-roll Bar / Front Sway Bar / Front Stabilizer Bar,UR-LA4-2841,4 Points,Front Lower Bar / Front Member Brace	Code: UR-LA4-2841	Specification: 4 Points	Remark: For 2 Doors Only	Front Lower Bar / Front Member Brace	Code: UR-LA4-1082	Specification: 4 Points (Only For Vehicles with Power Steering)	Remark: For 4 Doors Only	Front Anti-roll Bar / Front Sway Bar / Front Stabilizer Bar	Code: UR-AR23-224	Specification: 23mm solid with Polyurethane Bushing (Standard 18mm solid)	Front Strut Bar / Front Tower Bar	Code: UR-TW2-069	Specification: 2 Points,http://ultraracing.my/ecatalog/index.php/product/bmw-e30-3-series-front-anti-roll-bar-front-sway-bar-front-stabilizer-bar/
bmw,bmw-e30-3-series,BMW E30 3 Series Rear Anti-roll Bar / Rear Sway Bar / Rear Stabilizer Bar,UR-AR23-224,23mm solid with Polyurethane Bushing (Standard 18mm solid),Front Anti-roll Bar / Front Sway Bar / Front Stabilizer Bar	Code: UR-AR23-224	Specification: 23mm solid with Polyurethane Bushing (Standard 18mm solid)	Front Lower Bar / Front Member Brace	Code: UR-LA4-1082	Specification: 4 Points (Only For Vehicles with Power Steering)	Remark: For 4 Doors Only	Front Lower Bar / Front Member Brace	Code: UR-LA4-2841	Specification: 4 Points	Remark: For 2 Doors Only	Front Anti-roll Bar / Front Sway Bar / Front Stabilizer Bar	Code: UR-AR20-103	Specification: 20mm solid with Polyurethane Bushing (Standard 18mm solid),http://ultraracing.my/ecatalog/index.php/product/bmw-e30-3-series-rear-anti-roll-bar-rear-sway-bar-rear-stabilizer-bar/
bmw,bmw-e30-3-series,BMW E30 3 Series Front Lower Bar / Front Member Brace,UR-AR23-224,23mm solid with Polyurethane Bushing (Standard 18mm solid),Front Anti-roll Bar / Front Sway Bar / Front Stabilizer Bar	Code: UR-AR23-224	Specification: 23mm solid with Polyurethane Bushing (Standard 18mm solid)	Front Strut Bar / Front Tower Bar	Code: UR-TW2-069	Specification: 2 Points	Front Anti-roll Bar / Front Sway Bar / Front Stabilizer Bar	Code: UR-AR20-103	Specification: 20mm solid with Polyurethane Bushing (Standard 18mm solid)	Front Lower Bar / Front Member Brace	Code: UR-LA4-1082	Specification: 4 Points (Only For Vehicles with Power Steering)	Remark: For 4 Doors Only,http://ultraracing.my/ecatalog/index.php/product/bmw-e30-3-series-front-lower-bar-front-member-brace-2/
bmw,bmw-e30-3-series,BMW E30 3 Series Front Anti-roll Bar / Front Sway Bar / Front Stabilizer Bar,UR-TW2-069,2 Points,Front Strut Bar / Front Tower Bar	Code: UR-TW2-069	Specification: 2 Points	Front Anti-roll Bar / Front Sway Bar / Front Stabilizer Bar	Code: UR-AR20-103	Specification: 20mm solid with Polyurethane Bushing (Standard 18mm solid)	Front Lower Bar / Front Member Brace	Code: UR-LA4-1082	Specification: 4 Points (Only For Vehicles with Power Steering)	Remark: For 4 Doors Only	Front Lower Bar / Front Member Brace	Code: UR-LA4-2841	Specification: 4 Points	Remark: For 2 Doors Only,http://ultraracing.my/ecatalog/index.php/product/bmw-e30-3-series-front-anti-roll-bar-front-sway-bar-front-stabilizer-bar-2/
bmw,bmw-e30-3-series,BMW E30 3 Series Front Strut Bar / Front Tower Bar,UR-AR20-103,20mm solid with Polyurethane Bushing (Standard 18mm solid),Front Anti-roll Bar / Front Sway Bar / Front Stabilizer Bar	Code: UR-AR20-103	Specification: 20mm solid with Polyurethane Bushing (Standard 18mm solid)	Front Lower Bar / Front Member Brace	Code: UR-LA4-1082	Specification: 4 Points (Only For Vehicles with Power Steering)	Remark: For 4 Doors Only	Front Anti-roll Bar / Front Sway Bar / Front Stabilizer Bar	Code: UR-AR23-224	Specification: 23mm solid with Polyurethane Bushing (Standard 18mm solid)	Front Lower Bar / Front Member Brace	Code: UR-LA4-2841	Specification: 4 Points	Remark: For 2 Doors Only,http://ultraracing.my/ecatalog/index.php/product/bmw-e30-3-series-front-strut-bar-front-tower-bar/
bmw,bmw-e37-z3-1-9-roadster-2wd-1995,BMW E37 Z3 1.9 (Roadster) 2WD (1995) Front Member Brace / Front Lower Bar,URTW-RL2-2974,2 Points,Rear Member Brace / Rear Lower Bar	Code: URTW-RL2-2974	Specification: 2 Points	Remark: For Manual Transmission	(Fabrication based on Taiwan models)	Middle Member Brace / Middle Lower Bar	Code: URTW-ML2-2973	Specification: 2 Points	Remark: For Manual Transmission	(Fabrication based on Taiwan models)	Front Strut Bar / Front Upper Brace / Front Tower Bar	Code: URTW-TW2-2971	Specification: 2 Points	Remark: For Manual Transmission	(Fabrication based on Taiwan models),http://ultraracing.my/ecatalog/index.php/product/bmw-e37-z3-1-9-roadster-2wd-1995-front-member-brace-front-lower-bar/
bmw,bmw-e32-7-series,BMW E32 7 Series Front Strut Bar / Front Tower Bar,UR-LA2-492,,Front Lower Bar / Front Member Brace	Code: UR-LA2-492	Specification: 2 Points,http://ultraracing.my/ecatalog/index.php/product/bmw-e32-7-series-front-strut-bar-front-tower-bar/
bmw,bmw-e37-z3-1-9-roadster-2wd-1995,BMW E37 Z3 1.9 (Roadster) 2WD (1995) Front Strut Bar / Front Upper Brace / Front Tower Bar,URTW-LA4-2972,4 Points,Front Member Brace / Front Lower Bar	Code: URTW-LA4-2972	Specification: 4 Points	Remark: For Manual Transmission	(Fabrication based on Taiwan models)	Middle Member Brace / Middle Lower Bar	Code: URTW-ML2-2973	Specification: 2 Points	Remark: For Manual Transmission	(Fabrication based on Taiwan models)	Rear Member Brace / Rear Lower Bar	Code: URTW-RL2-2974	Specification: 2 Points	Remark: For Manual Transmission	(Fabrication based on Taiwan models),http://ultraracing.my/ecatalog/index.php/product/bmw-e37-z3-1-9-roadster-2wd-1995-front-strut-bar-front-upper-brace-front-tower-bar/
audi-2,audi-tts-quattro-2008,Audi TTS Quattro (2008) Rear Lower Bar / Rear Member Brace,UR-AR24-251,24mm Solid with Polyurethane Bushing (Standard 22mm Hollow),Rear Anti-roll Bar / Rear Sway Bar / Rear Stabilizer Bar	Code: UR-AR24-251	Specification: 24mm Solid with Polyurethane Bushing (Standard 22mm Hollow)	Front Strut Bar / Front Tower Bar	Code: UR-TW2-1212	Specification: 2 Points	Front Lower Bar / Front Member Brace	Code: UR-LA4-1209	Specification: 4 Points,http://ultraracing.my/ecatalog/index.php/product/audi-tts-quattro-2008-rear-lower-bar-rear-member-brace-4/
volvo,volvo-xc90-2-5-2002,Volvo XC90 2.5 (2002) Front Lower Bar / Front Member Brace,UR-TW2-1126,,Front Strut Bar / Front Tower Bar	Code: UR-TW2-1126	Specification: 2 Points,http://ultraracing.my/ecatalog/index.php/product/volvo-v60-t4-1-6t-2010-rear-lower-bar-rear-member-brace-copy-copy/
